      101       104        93
      118       129       115
      156       166       157
      205       212       216
      111       114        97
      139       146       136
      175       190       183
      104       111        89
      129       139       125
      166       175       171
      212       225       232
      114       118       105
      146       156       148
      190       205       195
      232       237       216
      237       245       226
      245       250       230
      115       129       125
      115       125       109
      136       146       148
      136       148       135
      171       175       183
      171       183       174
      216       212       232
       89       111        97
       89        97        80
      148       156       157
      148       157       149
      157       166       171
      157       171       161
      183       190       195
      183       195       192
      105       118       115
      105       115        96
       97       114       105
       97       105        86
      125       139       136
      125       136       120
      195       205       216
      195       216       209
      104        89        93
      250       260       242
       78        93        89
      260       269       249
      269       276       256
      226       245       230
      226       230       209
      237       226       216
      276       285       266
       66        78        72
      230       250       242
      230       242       215
      285       294       275
      242       260       249
      242       249       215
      294       305       286
      249       269       256
      249       256       231
      226       209       216
      305       316       295
       53        66        60
      256       276       266
      256       266       231
      316       328       309
      266       285       275
      266       275       251
      328       338       320
       72        78        89
       66        72        60
       60        72        69
      275       294       286
      275       286       265
      109       125       120
      109       120       102
      149       157       161
      149       161       151
       86       105        96
       86        96        79
      174       183       192
      174       192       184
      192       195       209
      192       209       215
      135       148       149
      135       149       138
      161       171       174
      161       174       169
      120       136       135
      120       135       119
       80        97        86
       80        86        69
       80        69        72
       80        72        89
       96       115       109
       96       109        91
       41        53        48
      338       353       335
      230       215       209
      286       305       295
      286       295       277
      249       231       215
      102       120       119
      102       119       103
       79        96        91
       79        91        75
      138       149       151
      138       151       140
      119       135       138
      119       138       123
      151       161       169
      151       169       158
      184       192       215
      169       174       184
      169       184       177
       91       109       102
       91       102        87
       86        79        69
      353       366       348
      251       275       265
      251       265       243
      266       251       231
      243       265       259
      251       243       227
       60        69        54
      265       286       277
      265       277       259
      259       277       283
      295       316       309
      295       309       283
       53        60        48
       48        60        54
       48        54        42
      283       277       295
      259       283       253
       75        91        87
       75        87        73
      123       138       140
      123       140       132
      177       184       203
      103       119       123
      103       123       110
      140       151       158
      140       158       150
      158       169       177
      158       177       172
       87       102       103
       87       103        88
       79        75        63
      309       328       320
      309       320       304
      366       380       361
      320       338       335
      320       335       315
      304       320       315
      304       315       296
      309       304       283
      315       335       332
      296       315       313
      304       296       283
       30        41        36
       41        48        36
       36        48        42
       36        42        31
       31        42        39
       36        31        25
       73        87        88
      110       123       132
      172       177       191
      132       140       150
      150       158       172
       88       103       110
       75        73        59
      335       353       348
      335       348       332
      332       348       345
       42        54        49
      345       348       361
      345       361       360
      361       348       366
      360       361       376
      345       360       343
      332       345       330
      380       395       376
      376       395       384
      380       376       361
      384       395       412
      376       384       360
      442       457       439
      505       519       504
      546       549       548
      412       426       407
      473       490       470
      533       541       534
      457       473       455
      519       533       521
      426       442       424
      490       505       488
      541       546       542
      243       259       235
      227       243       214
      251       227       231
       54        69        63
       54        63        49
       49        63        59
       49        59        46
      253       283       274
      203       184       215
       63        75        59
       46        59        55
      259       253       235
      177       203       191
       79        63        69
       49        46        39
       39        46        34
       49        39        42
       34        46        45
       39        29        31
       45        46        55
       45        55        56
       56        55        68
       45        56        44
       34        45        33
       25        31        22
       36        25        30
       30        25        20
       20        25        22
      343       360       363
      345       343       330
      330       343       325
      325       343       342
      330       325       311
       68        55        73
       56        68        70
       44        56        57
       45        44        33
       33        44        35
       35        44        47
       33        35        23
      313       315       332
      313       332       330
      313       330       311
      313       311       293
      296       313       293
      296       293       274
      296       274       283
       35        47        38
       33        23        24
       47        44        57
       47        57        61
       61        57        71
       47        61        50
       23        35        27
      172       191       187
       59        73        55
      293       311       290
       61        71        77
       47        50        38
       38        50        43
       43        50        58
       38        43        32
       71        57        70
       50        61        65
       58        50        65
       58        65        74
       74        65        82
       58        74        64
       43        58        51
       32        43        40
       38        32        27
       27        32        21
      439       457       455
      439       455       436
      534       541       542
      534       542       535
      488       505       504
      488       504       489
       34        33        24
       34        24        29
       29        24        18
       34        29        39
       31        29        22
       22        29        18
       22        18        14
       14        18        12
       22        14        20
       12        18        17
       14        12         8
       18        24        17
       17        24        23
       17        23        19
       19        23        27
       17        19        13
       19        27        21
       13        19        15
       17        13        12
       12        13         7
        7        13         9
       12         7         8
        8         7         3
        9        13        15
        9        15        10
        7         9         4
      439       436       419
      488       489       469
      534       535       522
      407       426       424
      407       424       405
      405       424       419
      405       419       403
      419       424       439
      403       419       420
      405       403       386
      439       424       442
      407       405       385
      521       533       534
      521       534       522
      521       522       507
      507       522       508
      521       507       504
      504       507       489
      489       507       492
      521       504       519
      492       507       508
      492       508       493
      489       492       472
      493       508       511
      492       493       475
       82        65        77
       82        77        95
       74        82        92
      455       473       470
      455       470       453
      453       470       469
      453       469       454
      469       470       488
      454       469       472
      453       454       435
      488       470       490
      454       472       456
      456       472       475
      456       475       459
      475       472       492
      459       475       477
      456       459       440
      454       456       438
      455       453       436
      436       453       435
      436       435       420
      420       435       418
      436       420       419
      418       435       438
      420       418       402
      418       438       422
      438       435       454
      422       438       440
      422       440       425
      418       422       404
      542       546       548
      325       342       324
      214       243       235
       58        64        51
       51        64        62
       62        64        76
       51        62        52
       52        62        67
       67        62        76
       14         8        11
      342       343       363
      342       363       365
      365       363       385
      342       365       350
      412       407       384
       64        74        81
      311       325       308
      535       542       543
      227       214       211
       71        70        85
      511       508       525
      475       493       477
      477       493       496
      496       493       511
      477       496       480
      496       511       513
      513       511       527
      496       513       498
      472       469       489
      480       496       498
      477       480       461
      253       274       252
       76        64        81
       76        81        94
       94        81        98
       76        94        83
       98        81        92
       98        92       113
       94        98       116
      456       440       438
      422       425       406
        4         9         5
        4         5         2
        4         2         3
      459       477       461
      459       461       444
      444       461       445
      459       444       440
      440       444       425
      425       444       428
      445       461       463
      444       445       428
      428       445       431
      420       402       403
      403       402       387
      387       402       389
      403       387       386
      386       387       370
      370       387       369
      386       370       365
      365       370       350
      389       402       404
      389       404       390
      390       404       406
      389       390       372
      390       406       393
      393       406       410
      390       393       374
      387       389       369
      369       389       372
      369       372       351
      351       372       355
      369       351       350
      402       418       404
        7         4         3
      425       428       410
      425       410       406
      355       372       374
      355       374       356
      356       374       375
      355       356       337
      375       374       393
      375       393       394
      394       393       410
      394       410       413
      375       394       378
      413       410       428
      394       413       397
      356       375       359
      337       356       340
       27        35        38
       95        77        90
       56        70        57
      370       369       350
      372       390       374
       70        68        84
      351       355       336
      355       337       336
      336       337       319
      319       337       322
      336       319       318
       21        32        26
       82        95        99
       15        19        21
      405       386       385
      385       386       365
      342       350       324
      324       350       327
      327       350       351
      324       327       302
      187       191       214
      508       522       525
      525       522       535
      525       535       539
      539       535       543
      525       539       527
      527       539       537
      537       539       545
      527       537       529
      525       527       511
      529       537       544
      527       529       513
      513       529       514
      514       529       531
      513       514       498
      498       514       500
      500       514       516
      498       500       482
