       64        63        62
       37        31        32
        5         2         4
       55        51        50
       19        14        16
       61        58        57
       45        41        40
       27        22        24
       12         8         9
       63        61        59
       31        27        28
        2         1         3
       51        45        47
       14        12        13
       58        55        53
       41        37        38
       22        19        20
        8         5         7
       32        31        28
       32        28        29
       57        58        53
       57        53        54
       59        61        57
       59        57        54
       53        55        50
       53        43        54
       50        51        47
       50        47        43
       24        22        20
       24        20        21
       47        45        40
       47        40        43
       20        19        16
       20        15        21
        4         2         3
       40        41        38
       40        38        36
       28        27        24
       28        24        29
       38        37        32
       38        32        29
       16        14        13
       16        13        15
        9         8         7
        9         7        10
       13        12         9
       13         9        10
        7         5         4
        7         4        10
       63        59        62
       60        62        59
        3         6         4
       56        60        54
        6        11        10
       36        38        29
       36        29        34
       40        36        43
       43        36        34
       15        13        10
       15        10        17
       50        43        53
       54        43        44
       24        21        29
       29        21        34
       16        15        20
       21        15        17
       52        56        44
       11        18        17
       54        44        56
       17        10        11
       44        43        34
       60        59        54
        4         6        10
       46        48        35
       49        52        42
       26        35        30
       48        49        39
       18        26        23
       42        52        44
       30        35        48
       39        49        42
       39        42        33
       23        26        30
       23        30        33
       33        42        34
       39        33        30
       39        30        48
       18        23        17
       42        44        34
       33        34        25
       25        34        21
       33        25        23
       17        23        25
       17        25        21
