   1  1  1      0.00000e+00      0.00000e+00
   2  1  1      0.00000e+00      0.00000e+00
   5  1  1      0.00000e+00      0.00000e+00
  10  1  1      0.00000e+00      0.00000e+00
  16  1  1      0.00000e+00      0.00000e+00
  24  1  1      0.00000e+00      0.00000e+00
  35  1  1      0.00000e+00      0.00000e+00
  44  1  1      0.00000e+00      0.00000e+00
  57  1  1      0.00000e+00      0.00000e+00
  72  1  1      0.00000e+00      0.00000e+00
  89  1  1      0.00000e+00      0.00000e+00
 106  1  1      0.00000e+00      0.00000e+00
 123  1  1      0.00000e+00      0.00000e+00
 145  1  1      0.00000e+00      0.00000e+00
 168  1  1      0.00000e+00      0.00000e+00
 191  1  1      0.00000e+00      0.00000e+00
 215  1  1      0.00000e+00      0.00000e+00
 240  1  1      0.00000e+00      0.00000e+00
 270  1  1      0.00000e+00      0.00000e+00
 301  1  1      0.00000e+00      0.00000e+00
 334  1  1      0.00000e+00      0.00000e+00
