   67   76   78   68
   87   88   86   84
   47   44   35   36
    3    1    2    4
   57   67   68   59
   85   87   84   80
   51   47   36   38
    6    3    4    8
   45   57   59   48
   78   79   71   68
   83   85   80   74
   86   82   77   84
   53   51   38   42
   35   25   27   36
   11    6    8   13
    2    5    7    4
   34   45   48   37
   79   81   73   71
   81   83   74   73
   82   75   70   77
   58   53   42   49
   25   17   18   27
   17   11   13   18
    5   10   12    7
   24   34   37   28
   75   69   62   70
   63   58   49   55
   69   63   55   62
   10   16   19   12
   16   24   28   19
    8    4    7    9
   13    8    9   14
   59   68   71   61
   38   36   27   29
   48   59   61   52
   42   38   29   32
   84   77   72   80
   27   18   21   29
   18   13   14   21
   37   48   52   39
   49   42   32   40
   71   73   64   61
   73   74   66   64
   74   80   72   66
   28   37   39   30
   19   28   30   22
   12   19   22   15
    7   12   15    9
   55   49   40   46
   62   55   46   56
   77   70   65   72
   70   62   56   65
   65   56   50   60
   72   65   60   66
   14    9   15   20
   52   61   64   54
   64   66   60   54
   21   14   20   23
   29   21   23   32
   40   32   23   31
   46   40   31   41
   15   22   26   20
   23   20   26   31
   22   30   33   26
   31   26   33   41
   56   46   41   50
   39   52   54   43
   54   60   50   43
   30   39   43   33
   41   33   43   50
