        3         4         1
        4         2         1
        6         8         3
        8         4         3
       11        13         6
       13         8         6
       17        19        11
       19        13        11
       24        28        17
       28        19        17
       36        37        24
       37        28        24
       44        47        36
       47        37        36
       53        55        44
       55        47        44
       60        63        53
       63        55        53
       69        70        60
       70        63        60
       76        77        69
       77        70        69
       83        85        76
       85        77        76
       91        92        83
       92        85        83
       98       100        91
      100        92        91
      106       107        98
      107       100        98
      113       114       106
      114       107       106
        4         7         2
        7         5         2
        8        10         4
       10         7         4
       13        15         8
       15        10         8
       19        22        13
       22        15        13
       28        30        19
       30        22        19
       37        41        28
       41        30        28
       47        49        37
       49        41        37
       55        57        47
       57        49        47
       63        64        55
       64        57        55
       70        72        63
       72        64        63
       77        79        70
       79        72        70
       85        86        77
       86        79        77
       92        94        85
       94        86        85
      100       101        92
      101        94        92
      107       108       100
      108       101       100
      114       115       107
      115       108       107
        7        12         5
       12         9         5
       10        14         7
       14        12         7
       15        20        10
       20        14        10
       22        27        15
       27        20        15
       30        35        22
       35        27        22
       41        43        30
       43        35        30
       49        51        41
       51        43        41
       57        59        49
       59        51        49
       64        66        57
       66        59        57
       72        73        64
       73        66        64
       79        81        72
       81        73        72
       86        88        79
       88        81        79
       94        95        86
       95        88        86
      101       102        94
      102        95        94
      108       109       101
      109       102       101
      115       116       108
      116       109       108
       12        18         9
       18        16         9
       14        21        12
       21        18        12
       20        26        14
       26        21        14
       27        31        20
       31        26        20
       35        40        27
       40        31        27
       43        48        35
       48        40        35
       51        54        43
       54        48        43
       59        61        51
       61        54        51
       66        68        59
       68        61        59
       73        75        66
       75        68        66
       81        82        73
       82        75        73
       88        89        81
       89        82        81
       95        96        88
       96        89        88
      102       103        95
      103        96        95
      109       110       102
      110       103       102
      116       117       109
      117       110       109
       18        25        16
       25        23        16
       21        29        18
       29        25        18
       26        32        21
       32        29        21
       31        39        26
       39        32        26
       40        45        31
       45        39        31
       48        52        40
       52        45        40
       54        58        48
       58        52        48
       61        65        54
       65        58        54
       68        71        61
       71        65        61
       75        78        68
       78        71        68
       82        84        75
       84        78        75
       89        90        82
       90        84        82
       96        97        89
       97        90        89
      103       104        96
      104        97        96
      110       111       103
      111       104       103
      117       118       110
      118       111       110
       25        34        23
       34        33        23
       29        38        25
       38        34        25
       32        42        29
       42        38        29
       39        46        32
       46        42        32
       45        50        39
       50        46        39
       52        56        45
       56        50        45
       58        62        52
       62        56        52
       65        67        58
       67        62        58
       71        74        65
       74        67        65
       78        80        71
       80        74        71
       84        87        78
       87        80        78
       90        93        84
       93        87        84
       97        99        90
       99        93        90
      104       105        97
      105        99        97
      111       112       104
      112       105       104
      118       119       111
      119       112       111
